,pio,adc
0,b'\r\n',b'RX: 85\r\n'
1,b'RX: 85\r\n',b'RX: 60\r\n'
2,b'RX: 60\r\n',b'RX: 3\r\n'
3,b'RX: 2\r\n',b'RX: 0\r\n'
4,b'RX: 0\r\n',b'RX: 0\r\n'
5,b'RX: 0\r\n',b'RX: 101\r\n'
6,b'RX: 7\r\n',b'RX: 101\r\n'
7,b'RX: 3\r\n',b'RX: 101\r\n'
8,b'RX: 3\r\n',b'RX: 101\r\n'
9,b'RX: 2\r\n',b'RX: 101\r\n'
10,b'RX: 3\r\n',b'RX: 102\r\n'
11,b'RX: 2\r\n',b'RX: 101\r\n'
12,b'RX: 4\r\n',b'RX: 102\r\n'
13,b'RX: 2\r\n',b'RX: 101\r\n'
14,b'RX: 3\r\n',b'RX: 102\r\n'
15,b'RX: 1\r\n',b'RX: 102\r\n'
16,b'RX: 2\r\n',b'RX: 102\r\n'
17,b'RX: 2\r\n',b'RX: 102\r\n'
18,b'RX: 2\r\n',b'RX: 102\r\n'
19,b'RX: 2\r\n',b'RX: 102\r\n'
20,b'RX: 2\r\n',b'RX: 102\r\n'
21,b'RX: 2\r\n',b'RX: 102\r\n'
22,b'RX: 2\r\n',b'RX: 102\r\n'
23,b'RX: 2\r\n',b'RX: 102\r\n'
24,b'RX: 2\r\n',b'RX: 102\r\n'
25,b'RX: 1\r\n',b'RX: 102\r\n'
26,b'RX: 2\r\n',b'RX: 102\r\n'
27,b'RX: 2\r\n',b'RX: 102\r\n'
28,b'RX: 1\r\n',b'RX: 102\r\n'
29,b'RX: 1\r\n',b'RX: 103\r\n'
30,b'RX: 1\r\n',b'RX: 103\r\n'
31,b'RX: 1\r\n',b'RX: 103\r\n'
32,b'RX: 1\r\n',b'RX: 103\r\n'
33,b'RX: 1\r\n',b'RX: 103\r\n'
34,b'RX: 1\r\n',b'RX: 103\r\n'
35,b'RX: 2\r\n',b'RX: 103\r\n'
36,b'RX: 1\r\n',b'RX: 103\r\n'
37,b'RX: 1\r\n',b'RX: 103\r\n'
38,b'RX: 1\r\n',b'RX: 103\r\n'
39,b'RX: 1\r\n',b'RX: 103\r\n'
40,b'RX: 1\r\n',b'RX: 103\r\n'
41,b'RX: 1\r\n',b'RX: 103\r\n'
42,b'RX: 1\r\n',b'RX: 103\r\n'
43,b'RX: 1\r\n',b'RX: 103\r\n'
44,b'RX: 1\r\n',b'RX: 103\r\n'
45,b'RX: 1\r\n',b'RX: 103\r\n'
46,b'RX: 1\r\n',b'RX: 103\r\n'
47,b'RX: 1\r\n',b'RX: 103\r\n'
48,b'RX: 1\r\n',b'RX: 103\r\n'
49,b'RX: 1\r\n',b'RX: 103\r\n'
50,b'RX: 1\r\n',b'RX: 103\r\n'
51,b'RX: 1\r\n',b'RX: 103\r\n'
52,b'RX: 1\r\n',b'RX: 103\r\n'
53,b'RX: 1\r\n',b'RX: 103\r\n'
54,b'RX: 1\r\n',b'RX: 103\r\n'
55,b'RX: 1\r\n',b'RX: 103\r\n'
56,b'RX: 1\r\n',b'RX: 103\r\n'
57,b'RX: 1\r\n',b'RX: 103\r\n'
58,b'RX: 0\r\n',b'RX: 103\r\n'
59,b'RX: 1\r\n',b'RX: 103\r\n'
60,b'RX: 1\r\n',b'RX: 103\r\n'
61,b'RX: 1\r\n',b'RX: 103\r\n'
62,b'RX: 1\r\n',b'RX: 103\r\n'
63,b'RX: 0\r\n',b'RX: 103\r\n'
64,b'RX: 0\r\n',b'RX: 103\r\n'
65,b'RX: 1\r\n',b'RX: 103\r\n'
66,b'RX: 1\r\n',b'RX: 103\r\n'
67,b'RX: 1\r\n',b'RX: 103\r\n'
68,b'RX: 1\r\n',b'RX: 103\r\n'
69,b'RX: 1\r\n',b'RX: 103\r\n'
70,b'RX: 0\r\n',b'RX: 103\r\n'
71,b'RX: 0\r\n',b'RX: 103\r\n'
72,b'RX: 1\r\n',b'RX: 103\r\n'
73,b'RX: 1\r\n',b'RX: 103\r\n'
74,b'RX: 1\r\n',b'RX: 104\r\n'
75,b'RX: 0\r\n',b'RX: 103\r\n'
76,b'RX: 1\r\n',b'RX: 103\r\n'
77,b'RX: 0\r\n',b'RX: 103\r\n'
78,b'RX: 0\r\n',b'RX: 103\r\n'
79,b'RX: 1\r\n',b'RX: 103\r\n'
80,b'RX: 0\r\n',b'RX: 104\r\n'
81,b'RX: 0\r\n',b'RX: 0\r\n'
82,b'RX: 0\r\n',b'RX: 85\r\n'
83,b'RX: 85\r\n',b'RX: 103\r\n'
84,b'RX: 1\r\n',b'RX: 103\r\n'
85,b'RX: 0\r\n',b'RX: 104\r\n'
86,b'RX: 52\r\n',b'RX: 13355'
87,b'RX: 984092674\r\n',b''
